0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:50:00 +0900] "GET /milestone/assets/css/fix/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:50:00 +0900] "GET /milestone/member/script.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:50:00 +0900] "GET /milestone/assets/js/notice/notice.js HTTP/1.1" 404 859
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:50:00 +0900] "GET /milestone/assets/css/donation/donationStatus.css HTTP/1.1" 200 9968
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:50:00 +0900] "GET /milestone/assets/img/fix/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:50:00 +0900] "GET /milestone/assets/img/fix/search.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:50:00 +0900] "GET /milestone/assets/img/notice/student.png HTTP/1.1" 200 27129
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:50:00 +0900] "GET /milestone/assets/img/notice/noticelogo.png HTTP/1.1" 200 13088
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:50:00 +0900] "GET /milestone/assets/img/notice/foooter.png HTTP/1.1" 200 65323
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:50:08 +0900] "GET /milestone/app/404/404.jsp HTTP/1.1" 200 147587
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:50:08 +0900] "GET /milestone/assets/css/404/404.css HTTP/1.1" 200 4454
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:50:08 +0900] "GET /milestone/app/404/script.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:50:09 +0900] "GET /milestone/app/404/script.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [24/Oct/2022:09:50:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
